vector_type,size,algorithm,time_ns,comparisons
reversed,1600,MsdRadixSort,4466500,0
reversed,1600,QuickSort,10632583,140179
reversed,1600,StringMergeSort,3722875,6305
reversed,1600,TernaryQuickSort,10842875,29565
reversed,1700,MergeSort,3543625,15211
reversed,1700,MsdRadixQuickSort,8761833,14901
reversed,1700,MsdRadixSort,4482667,0
reversed,1700,QuickSort,10966584,148364
reversed,1700,StringMergeSort,3847709,6699
reversed,1700,TernaryQuickSort,11772750,30923
reversed,1800,MergeSort,3746709,15911
reversed,1800,MsdRadixQuickSort,9243500,15450
reversed,1800,MsdRadixSort,4717125,0
reversed,1800,QuickSort,11680417,157406
reversed,1800,StringMergeSort,3979625,6921
reversed,1800,TernaryQuickSort,11699041,30296
reversed,1900,MergeSort,3876916,16812
reversed,1900,MsdRadixQuickSort,9642875,16928
reversed,1900,MsdRadixSort,5017916,0
reversed,1900,QuickSort,12573000,167808
reversed,1900,StringMergeSort,4328458,7375
reversed,1900,TernaryQuickSort,12643500,33709
reversed,2000,MergeSort,4205417,17532
reversed,2000,MsdRadixQuickSort,10099083,17454
reversed,2000,MsdRadixSort,5430417,0
reversed,2000,QuickSort,12910500,173978
reversed,2000,StringMergeSort,4556875,7705
reversed,2000,TernaryQuickSort,13623041,37278
reversed,2100,MergeSort,4354958,18427
reversed,2100,MsdRadixQuickSort,10462625,17722
reversed,2100,MsdRadixSort,5506084,0
reversed,2100,QuickSort,13965750,184803
reversed,2100,StringMergeSort,4735167,8032
reversed,2100,TernaryQuickSort,14437625,38241
reversed,2200,MergeSort,4621334,19850
reversed,2200,MsdRadixQuickSort,11140083,18846
reversed,2200,MsdRadixSort,5760792,0
reversed,2200,QuickSort,14681625,191571
reversed,2200,StringMergeSort,5045750,8644
reversed,2200,TernaryQuickSort,14999084,38919
reversed,2300,MergeSort,4799083,20896
reversed,2300,MsdRadixQuickSort,11545041,19678
reversed,2300,MsdRadixSort,5901750,0
reversed,2300,QuickSort,14614042,198929
reversed,2300,StringMergeSort,5202541,8996
reversed,2300,TernaryQuickSort,16382500,49310
reversed,2400,MergeSort,5110166,22124
reversed,2400,MsdRadixQuickSort,12326291,20723
reversed,2400,MsdRadixSort,6294042,0
reversed,2400,QuickSort,15985375,209849
reversed,2400,StringMergeSort,5434959,9479
reversed,2400,TernaryQuickSort,16440750,47772
reversed,2500,MergeSort,5339000,23303
reversed,2500,MsdRadixQuickSort,12304708,21447
reversed,2500,MsdRadixSort,6577708,0
reversed,2500,QuickSort,16365500,216572
reversed,2500,StringMergeSort,5776959,9969
reversed,2500,TernaryQuickSort,17706542,46640
reversed,2600,MergeSort,5623166,24386
reversed,2600,MsdRadixQuickSort,13084917,22412
reversed,2600,MsdRadixSort,6937916,0
reversed,2600,QuickSort,17586458,226016
reversed,2600,StringMergeSort,6105542,10521
reversed,2600,TernaryQuickSort,17846250,47415
reversed,2700,MergeSort,5783041,25245
reversed,2700,MsdRadixQuickSort,13350750,23257
reversed,2700,MsdRadixSort,7056875,0
reversed,2700,QuickSort,18040541,236542
reversed,2700,StringMergeSort,6238167,10725
reversed,2700,TernaryQuickSort,18199208,48933
reversed,2800,MergeSort,6099250,26592
reversed,2800,MsdRadixQuickSort,14215125,24185
reversed,2800,MsdRadixSort,7211875,0
reversed,2800,QuickSort,18463709,245696
reversed,2800,StringMergeSort,6457208,11409
reversed,2800,TernaryQuickSort,19363333,53901
reversed,2900,MergeSort,6249000,27281
reversed,2900,MsdRadixQuickSort,14761875,24864
reversed,2900,MsdRadixSort,7820125,0
reversed,2900,QuickSort,19660042,256189
reversed,2900,StringMergeSort,6766667,11555
reversed,2900,TernaryQuickSort,19959958,52883
reversed,3000,MergeSort,6545208,28085
reversed,3000,MsdRadixQuickSort,15497625,26521
reversed,3000,MsdRadixSort,7754834,0
reversed,3000,QuickSort,20299125,267377
reversed,3000,StringMergeSort,6922000,11792
reversed,3000,TernaryQuickSort,21524667,58472
reversed,100,MergeSort,176584,662
reversed,100,MsdRadixQuickSort,509875,763
reversed,100,MsdRadixSort,253667,0
